id,feyenoord,datasoort,j2006,j2007,j2008,j2009,j2011
11,Kop van Zuid Entrepot,autodiefstal,23.7,21.4,24.3,15.2,15.1
12,Vreewijk,autodiefstal,21.3,20.6,18.1,19.4,16.6
13,Bloemhof,autodiefstal,27,25.5,24.3,21.3,25.2
14,Hillesluis,autodiefstal,19.2,19.8,22.2,16.7,19.4
15,Katendrecht,autodiefstal,22.6,11.9,15.6,14.7,6.8
16,Afrikaanderwijk,autodiefstal,21.4,18,17,23.3,14.8
17,Feijenoord,autodiefstal,13.3,11.4,16.3,17.4,16.5
18,Noordereiland,autodiefstal,14.8,10.2,12.5,12.5,8.6
19,Feijenoord,autodiefstal,21.2,19.1,19.3,18.7,17.2
20,Rotterdam,autodiefstal,16.6,15.8,15.4,15.7,14.1
