id,feyenoord,datasoort,j2006,j2007,j2008,j2009,j2011
1,Kop van Zuid Entrepot,fietsdiefstal,21.5,17.3,17.1,15,12.3
2,Vreewijk,fietsdiefstal,21,18.4,17.2,18.1,15.7
3,Bloemhof,fietsdiefstal,22.1,20.1,21.9,23.5,26.8
4,Hillesluis,fietsdiefstal,18.3,19.2,22.7,19.9,20.3
5,Katendrecht,fietsdiefstal,22.8,15.9,24.6,10.4,7.9
6,Afrikaanderwijk,fietsdiefstal,19.4,14.7,20.1,22.8,17.2
7,Feijenoord,fietsdiefstal,12.6,28.6,21.7,22.5,21
8,Noordereiland,fietsdiefstal,21.2,12.4,17.7,20.7,12.5
9,Feijenoord,fietsdiefstal,19.8,18.9,20.6,20.2,18.3
10,Rotterdam,fietsdiefstal,18.7,18.2,20,18.5,18.2
